In total 4000 tracked data
99.95 collected 0
final reward is -1.1855741250046994
simulation end at 7000
         12866696 function calls (12852007 primitive calls) in 12.440 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 lapack.py:656(<module>)
        1    0.000    0.000    0.010    0.010 pyparsing.py:6398(pyparsing_common)
     4598    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
       70    0.001    0.000    0.010    0.000 __init__.py:1364(_preprocess_data)
    83999    0.010    0.000    0.010    0.000 base.py:52(__enter__)
        1    0.000    0.000    0.010    0.010 py3k.py:12(<module>)
        1    0.000    0.000    0.010    0.010 index_tricks.py:1(<module>)
    14323    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
     1264    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     3882    0.006    0.000    0.010    0.000 posixpath.py:75(join)
        1    0.000    0.000    0.009    0.009 blocking_input.py:20(<module>)
    10239    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1510    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.009    0.009 patches.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _parser.py:30(<module>)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
      312    0.000    0.000    0.009    0.000 __init__.py:1396(has_metadata)
      715    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.009    0.009 _policybase.py:4(<module>)
        1    0.000    0.000    0.009    0.009 graphml.py:36(<module>)
     1228    0.005    0.000    0.009    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.009    0.009 __init__.py:151(<module>)
        1    0.000    0.000    0.009    0.009 npyio.py:1(<module>)
        1    0.000    0.000    0.008    0.008 spectral_graph_forge.py:1(<module>)
        1    0.000    0.000    0.008    0.008 image.py:4(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:45(<module>)
        1    0.000    0.000    0.008    0.008 <decorator-gen-635>:1(_random_state)
    40887    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
      836    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.008    0.008 specifiers.py:333(Specifier)
        1    0.000    0.000    0.008    0.008 secrets.py:7(<module>)
      795    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.008    0.008 subprocess.py:42(<module>)
       50    0.000    0.000    0.008    0.000 traceback.py:200(extract_stack)
     9696    0.004    0.000    0.008    0.000 version.py:98(_compare)
        1    0.000    0.000    0.008    0.008 backend_bases.py:26(<module>)
    42000    0.007    0.000    0.007    0.000 fromnumeric.py:2876(_prod_dispatcher)
       50    0.001    0.000    0.007    0.000 traceback.py:318(extract)
        1    0.000    0.000    0.007    0.007 cm.py:53(_gen_cmap_registry)
        1    0.000    0.000    0.007    0.007 axis.py:3(<module>)
        2    0.000    0.000    0.007    0.004 _util.py:1(<module>)
       27    0.000    0.000    0.007    0.000 pyparsing.py:3294(__init__)
       78    0.000    0.000    0.007    0.000 decorators.py:416(py_random_state)
        1    0.000    0.000    0.007    0.007 __init__.py:18(<module>)
        1    0.000    0.000    0.007    0.007 font_manager.py:14(<module>)
     6464    0.002    0.000    0.007    0.000 version.py:82(__eq__)
        1    0.000    0.000    0.007    0.007 _datasource.py:36(<module>)
     1902    0.002    0.000    0.007    0.000 {built-in method builtins.any}
       89    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      881    0.002    0.000    0.007    0.000 copy.py:66(copy)
        2    0.000    0.000    0.007    0.003 __init__.py:14(<module>)
     3963    0.003    0.000    0.007    0.000 enum.py:289(__call__)
    16149    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
     1169    0.004    0.000    0.007    0.000 inspect.py:2750(__init__)
     1521    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.006    0.006 shutil.py:5(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:74(<module>)
    24880    0.006    0.000    0.006    0.000 {built-in method builtins.min}
      700    0.001    0.000    0.006    0.000 colors.py:161(to_rgba)
       81    0.000    0.000    0.006    0.000 docstring.py:77(dedent_interpd)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
    42608    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.006    0.006 rotation.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:945(Environment)
        1    0.000    0.000    0.006    0.006 __init__.py:162(get_supported_platform)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
    10079    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
       32    0.001    0.000    0.006    0.000 colors.py:776(from_list)
        1    0.000    0.000    0.006    0.006 _basic.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:34(<module>)
      101    0.006    0.000    0.006    0.000 {built-in method io.open}
    10062    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
      372    0.000    0.000    0.006    0.000 __init__.py:1393(_get_metadata_path)
